name,entity,label,definition_period
bonus_guaranteed_deduction,tax_unit,Bonus guaranteed deduction,year
taxsim_age1,tax_unit,Age of first dependent,year
taxsim_age2,tax_unit,Age of second dependent,year
taxsim_age3,tax_unit,Age of third dependent,year
taxsim_childcare,tax_unit,Childcare,year
taxsim_dep13,tax_unit,Children under 13,year
taxsim_dep17,tax_unit,Children under 17,year
taxsim_dep18,tax_unit,Children under 13,year
taxsim_depx,tax_unit,Number of dependents,year
taxsim_dividends,tax_unit,Dividends,year
taxsim_fiitax,tax_unit,Federal income tax,year
taxsim_gssi,tax_unit,Gross Social Security Income,year
taxsim_intrec,tax_unit,Taxable interest,year
taxsim_ltcg,tax_unit,Long-term capital gains,year
taxsim_mstat,tax_unit,Marital Status,year
taxsim_page,tax_unit,Age of primary taxpayer,year
taxsim_pbusinc,tax_unit,QBI for the primary taxpayer (TAXSIM),year
taxsim_pensions,tax_unit,Pensions,year
taxsim_pprofinc,tax_unit,SSTB income for the primary taxpayer (TAXSIM). Assumed zero.,year
taxsim_psemp,tax_unit,Self-employment income of taxpayer (excluding QBI),year
taxsim_pui,tax_unit,Unemployment compensation (primary taxpayer),year
taxsim_pwages,tax_unit,Wages for primary taxpayer,year
taxsim_sage,tax_unit,Age of spouse,year
taxsim_sbusinc,tax_unit,QBI for the spouse taxpayer (TAXSIM),year
taxsim_scorp,tax_unit,S-corp income,year
taxsim_siitax,tax_unit,State income tax liability,year
taxsim_sprofinc,tax_unit,SSTB income for the spouse of the taxpayer (TAXSIM). Assumed zero.,year
taxsim_ssemp,tax_unit,Self-employment income of spouse (excluding QBI),year
taxsim_state,tax_unit,State code,year
taxsim_stcg,tax_unit,Short-term capital gains,year
taxsim_swages,tax_unit,Wages for spouse,year
taxsim_taxsimid,tax_unit,Tax unit ID,year
taxsim_tfica,tax_unit,Employee share of FICA + SECA + Additional Medicare Tax,year
taxsim_ui,tax_unit,Unemployment compensation (spouse),year
taxsim_v10,tax_unit,Federal AGI,year
taxsim_v11,tax_unit,UI in AGI,year
taxsim_v12,tax_unit,Social Security in AGI,year
taxsim_v18,tax_unit,Taxable income in TAXSIM,year
taxsim_v25,tax_unit,EITC,year
taxsim_year,tax_unit,Policy year,year
flat_tax,tax_unit,Flat tax,year
basic_income,tax_unit,basic income,year
basic_income_before_phase_out,tax_unit,Basic income before phase-outs,year
