household_agi,household_size,filing_status,household_weight,rebate_ptv,rebate_ptv_base
144016.875,1,single,68.47725,0.0,1565.0
0.0,2,mfj,58.053474,2115.0,2115.0
15342.857421875,1,single,1158.0494,1565.0,1565.0
238492.3828125,5,mfj,34.674084,0.0,3765.0
53323.453125,2,mfj,179.794,0.0,2115.0
21768.951171875,4,single,9103.988,3215.0,3215.0
55729.66995239258,4,mfj,721.06647,1714.0660095214846,3215.0
68997.375,3,single,37.453564,0.0,2665.0
59662.4765625,2,mfj,2451.9146,0.0,2115.0
46149.89453125,3,single,909.80035,1430.0210937499999,2665.0
99186.41015625,7,mfj,345.5293,0.0,4865.0
38651.44921875,1,single,427.80157,0.0,1565.0
31227.572265625,1,single,1757.5211,14.485546874999999,1565.0
46552.47802734375,4,mfj,669.6472,3215.0,3215.0
115096.7578125,4,mfj,0.20397861,0.0,3215.0
47142.85546875,3,single,1046.4047,1231.42890625,2665.0
40618.6328125,1,single,925.53894,0.0,1565.0
62858.18945312499,8,mfj,644.0858,4865.0,4865.0
7412.1982421875,1,single,1.775945,1565.0,1565.0
106656.6640625,2,mfj,0.8210575,0.0,2115.0
178594.8125,4,mfj,60.12606,0.0,3215.0
51346.0,4,mfj,1.9518774,2590.8,3215.0
85546.2236328125,5,mfj,261.81442,0.0,3765.0
0.0,1,single,770.2476,1565.0,1565.0
87949.3984375,3,mfj,108.690765,0.0,2665.0
37088.6328125,3,single,321.92502,2665.0,2665.0
68968.7734375,1,single,190892.23,0.0,1565.0
68665.248046875,2,mfj,174.76369,0.0,2115.0
20929.814453125,2,mfj,215.94893,2115.0,2115.0
257962.625,2,mfj,552.61694,0.0,2115.0
20952.380859375,2,mfj,1.5553545,2115.0,2115.0
64962.0234375,1,single,0.28919908,0.0,1565.0
31428.572265625,4,single,9.300734,3215.0,3215.0
0.0,1,single,0.44533038,1565.0,1565.0
60066.39843749999,4,single,192.24362,846.7203125000013,3215.0
15050.2451171875,1,single,106092.51,1565.0,1565.0
151907.953125,4,single,318.16025,0.0,3215.0
216486.15869140625,3,mfj,3.4720566,0.0,2665.0
0.0,2,mfj,1222.0426,2115.0,2115.0
57797.4296875,1,single,301.01465,0.0,1565.0
51551.46875,1,single,26.514448,0.0,1565.0
3314.57568359375,3,mfj,343.24265,2665.0,2665.0
170920.0625,2,mfj,3.7106287,0.0,2115.0
39047.359375,3,mfj,814.7103,2665.0,2665.0
128614.3515625,2,mfj,239.55957,0.0,2115.0
24408.4765625,1,single,1860.461,1378.3046875,1565.0
16608.380859375,6,single,4721.708,4315.0,4315.0
44374.5703125,2,single,37453.684,0.0,2115.0
55770.187622070305,8,mfj,1069.5172,4865.0,4865.0
20479.98828125,4,mfj,398.5712,3215.0,3215.0
52912.05078125,3,single,7909.3804,77.58984375,2665.0
1261379.509765625,4,mfj,137.07246,0.0,3215.0
59460.8203125,2,mfj,2085.4297,0.0,2115.0
114593.49609375,3,single,310.46683,0.0,2665.0
6333.33349609375,1,single,154869.61,1565.0,1565.0
64952.3828125,2,mfj,493.66562,0.0,2115.0
