status,size_bucket,w,w_inband,wages,wages_inband,slope_inband_w,slope_inband_wages,pop_share_in_band,wage_share_in_band,avg_slope_inband_pop,avg_slope_inband_earn
single,1,4224346.829379294,334746.39665883913,17875259.215576172,3983026.7944335938,97612.04926571749,1161450.613256836,0.0792421669382732,0.22282344252456251,0.2916,0.2916
single,2,1033196.9901338635,142911.9223001328,3808554.2568359375,445586.68359375,56364.462155172376,175739.388009375,0.1383201109418803,0.11699628088374237,0.3944,0.3944
single,3,49205.42861044964,9760.769633117428,3112331.8356933594,1145418.7109375,4853.054661585986,569502.183078125,0.19836773926697504,0.36802589550427095,0.49720000000000003,0.4972
single,4,736668.5304518857,181709.00446115623,4840175.390869141,1186828.3544921875,109025.40267669372,712097.0126953125,0.24666318289678082,0.24520358430215297,0.5999999999999999,0.6
single,5,15650.583994272718,7983.562633082271,2437076.731689453,645888.3598632812,5610.84781853022,453930.33931191405,0.5101127623099452,0.26502586129716665,0.7028000000000001,0.7028
single,6,201921.31975298323,1683.7677040415874,3697828.3294677734,573127.7209472656,1356.4432623759028,461711.6919951172,0.0083387316708379,0.1549903537652208,0.8056,0.8056
single,7,24005.22015518485,2611.5526123046875,2356005.760925293,134409.52630615234,2372.3343930175783,122097.61369650878,0.10879102942701496,0.05704974433227388,0.9084000000000001,0.9083999999999999
mfj,2,3397510.809922657,212892.82759813574,33275136.028938293,10154124.3516922,62079.54852761639,2960942.660953446,0.06266141287214394,0.30515650913827946,0.2916,0.2916
mfj,3,3233455.5163657744,1139511.0111697,33863788.89916992,10292250.722167969,390852.2768312071,3530241.9977036137,0.35241276875534305,0.30393086706314354,0.343,0.343
mfj,4,528897.8691914462,21501.77493642617,28409602.808986664,8357959.796569824,8480.30003492648,3296379.3437671387,0.040653926190508304,0.29419488377802994,0.3944,0.3944
mfj,5,805461.2201197626,362298.4850652115,13564559.15296936,3108191.241455078,161512.66464207126,1385631.6554406737,0.44980251812910615,0.22914060135707964,0.4458,0.4458
mfj,6,48367.84635716834,40484.49447960139,4627376.471893311,1242595.3504943848,20128.89065525781,617818.408265808,0.8370125512855587,0.26853128506874474,0.4972,0.4971999999999999
mfj,7,132902.5241001956,1178.0775611801073,5251222.956176758,972599.8657836914,646.2933500634068,533568.286368933,0.008864222625989791,0.18521397280221544,0.5486,0.5486
