decile,total_no_phaseout,total_phaseout,households_weighted
1,43567165132.54199,43567165132.54199,1682219.9844819163
2,47265774294.38702,47249858296.31675,1396223.2569313531
3,33794763347.664036,33708286255.353806,1325857.2265107878
4,46771257293.236084,45181580029.216805,1433899.9646318683
5,40603149757.192245,32738291575.105644,1381186.0478792097
6,43745695091.1304,30939697702.680233,1540305.709565963
7,36139073460.12015,35662482767.22013,1352874.176619128
8,42861488314.311554,14781535604.184107,1671987.3377399486
9,27265373845.412422,0.0,1242327.409761587
10,29490866849.04997,0.0,1404709.5404376436
